CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	Temperature	ANXFormula	ChemicalName	PublicationYear	Quality	
808	P n m a	Cd Rb Br3	NH4CdCl3#Sn2S3	Cadmium rubidium bromide	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1977) 33, (*) p. 127-128	293.00	ABX3	Cadmium rubidium bromide	1977	10	
817	P 63/m m c	Rb (Mn Cl3)	BaFeO3-x	Rubidium trichloromanganate	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1977) 33, (*) p. 256-258	293.00	ABX3	Rubidium trichloromanganate(II)	1977	10	
1199	C m c m	Pb Tl I3	KTmI3	Die Kristallstrukturen von Tl Pb I3 und Tl4 Pb I6	Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie, Biochemie, Biophysik, Biologie (1977) 32, (*) p. 975-981	293.00	ABX3	Lead thallium iodide	1977	10	
2225	C 1 2/m 1	Rb Cr Cl3	Perovskite#BaBiO3(mS20)	The cooperative Jahn-Teller distorted structures of rubidium chromium(II) trichloride and cesium chromium(II) trichloride	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1978) 34, (*) p. 1973-1974	293.00	ABX3	Rubidium chromium(II) chloride	1978	10	
2525	R 3 m H	Cs Mn Cl3		The crystal structure of Cs Mn Cl3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1973) 29, (*) p. 744-748	293.00	ABX3	Cesium trichloromanganate(III)	1973	10	
2552	R -3 H	Na Mn Cl3	Ilmenite#TiFeO3	The crystal structure of Na Mn Cl3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1973) 29, (*) p. 1224-1228	293.00	ABX3	Sodium trichloromanganate(II)	1973	10	
2555	R -3 m H	Cs (Mn Cl3)	BaRuO3	The crystal structure of Cs Mn Cl3 and a summary of the structures of R M X3 compounds	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1973) 29, (*) p. 1330-1335	293.00	ABX3	Cesium trichloromanganate(II)	1973	10	
2590	P 63 m c	Cs (Cr Br3)	CsCrBr3	The effect of exchange coupling on the spectra of transition metal ions. The crystal structure and optical spectrum of Cs Cr Br3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1973) 29, (*) p. 1529-1532	293.00	ABX3	Cesium tribromochromate(II)	1973	10	
2782	P 63/m m c	Cs (Mn Br3)	BaNiO3	The crystal structure of Cs Mn Br3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1972) 28, (*) p. 1640-1641	293.00	ABX3	Cesium tribromomanganate(II)	1972	10	
4036	P 63/m m c	Rb Mg Cl3	BaMnO3	Die Struktur des Rb Mg Cl3 und die kristallchemischen Beziehungen zwischen Doppelchloriden des Magnesium und Mangan	Revue de Chimie Minerale (1975) 12, (*) p. 466-475	293.00	ABX3	Rubidium magnesium chloride	1975	10	
4039	P 63/m m c	Cs (Cd Cl3)	BaFeO3-x	Electron paramagnetic resonance spectra of vanadium(II) and nickel(II) doped into crystals of cesium cadmium chloride and a redetermination of the structure of cesium cadmium chloride	Inorganic Chemistry (1975) 14, (*) p. 3079-3085	293.00	ABX3	Cesium trichlorocadmate	1975	10	
6067	P n a m	Rb Pb I3	NH4CdCl3#Sn2S3	Darstellung und Kristallstruktur von Rubidiumtriiodoplumbat(II)	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 408, (*) p. 209-213	293.00	ABX3	Rubidium triiodoplumbate(II)	1974	10	
7135	P 1 21/c 1	K Cu Cl3	KCuCl3	Synthesis, crystal structure, UV-vis adsorption properties, photoelectric behavior, and DFT computational study of all-inorganic and lead-free copper halide salt K2Cu2Cl6	ACS Omega (2018) 3, (10) p. 14021-14026	298.00	ABX3	Potassium copper trichloride	2018	10	
8000	I 4/m c m	K Cu F3	KCuF3(tI20)	Electron-density distribution in crystals of K Cu F3 with Jahn-Teller distortion	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p. 1303-1308	296.00	ABX3	Potassium copper fluoride	1979	10	
8105	P 63 m c	Cs Cr I3	CsCrBr3	Structure cristalline de Cs Cr I3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p. 1554-1557	293.00	ABX3	Cesium chromium(II) iodide	1979	10	
9856	I 4/m c m	K Cu F3		Refinement of the Structure of K Cu F3 with Aspherical Scattering Factors	Report of the Research Laboratory of Engineering Materials, Tokyo Institute of Technology (1978) 3, (*) p. 19-26	296.00	ABX3	Potassium trifluorocuprate	1978	10	
9870	P n m a	Cs Be F3	KPO3(oP20)	The crystal structure of Cs Be F3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1968) 24, (*) p. 807-810	293.00	ABX3	Cesium beryllium fluoride	1968	10	
10184	C 2 2 21	Cs Cu Br3	CsCuBr3	Exchange interactions in polynuclear transition metal complexes. Structural properties of cesium tribromocuprate(II), Cs Cu Br3, a strongly coupled copper(II) system	Inorganic Chemistry (1973) 12, (*) p. 441-445	293.00	ABX3	Cesium tribromocuprate	1973	10	
10206	P 63 m c	Cs Cr Cl3	CsCrBr3	Effect of exchange coupling on the spectra of transition metal ions. The ligand field spectrum and crystal structure of Cs Cr Cl3	Journal of Chemical Physics (1972) 57, (*) p. 3771-3780	293.00	ABX3	Cesium chromium(II) chloride	1972	10	
10474	P 63/m m c	Cs Sc Cl3	BaNiO3	Study of the crystal structures and nonstoichiometry in the system Cs3 Sc2 Cl9 - Cs Sc Cl3	Inorganic Chemistry (1980) 19, (*) p. 129-134	293.00	ABX3	Cesium scandium(II) chloride	1980	10	
10508	P 63 c m	K (Ni Cl3)	KNiCl3	The structure of K Ni Cl3 at room temperature	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1980) 36, (*) p. 28-34	293.00	ABX3	Potassium trichloroniccolate	1980	10	
14070	P n a m	Cs (Sn I3)	NH4CdCl3#Sn2S3	Structure of cesium triiodostannate(II)	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1980) 36, (*) p. 683-684	293.00	ABX3	Cesium triiodostannate(II)	1980	10	
14077	P 63/m m c	Rb (Mn Br3)	BaNiO3	Rubidium tribromomanganate	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1980) 36, (*) p. 671-672	293.00	ABX3	Rubidium tribromomanganate(II)	1980	10	
15010	P 63/m m c	Rb Ni Cl3	BaNiO3	The crystal structure of Rb Ni Cl3 and Rb Ni Br3	Acta Chemica Scandinavica  (1969) 23, (*) p. 2055-2060	293.00	ABX3	Rubidium nickel chloride	1969	10	
15246	P m -3 m	K (Co F3)	Perovskite#CaTiO3	Electron density distribution in crystals of potassium trifluorocobaltate(II)	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1981) 37, (*) p. 545-548	293.00	ABX3	Potassium trifluorocobaltate(II)	1981	10	
15279	P 63/m m c	Rb Mg Cl3	BaFeO3-x	Electron paramagnetic resonance studies of manganese(II) and nickel(II) in three structural phases of rubidium magnesium chloride and the crystal structure of 6H-rubidium magnesium chloride	Inorganic Chemistry (1981) 20, (*) p. 140-145	293.00	ABX3	Rubidium magnesium chloride	1981	10	
15504	C 1 2 1	Rb Cr I3	RbCrCl3(LT)	Neutron powder diffraction on Rb Cr I3 and magnetic measurements on Rb Cr I3 and Cs Cr I3	Journal of Solid State Chemistry (1981) 38, (*) p. 199-210	293.00	ABX3	Rubidium chromium(II) iodide - gamma	1981	10	
15523	C 1 2 1	Rb Cu Cl3	RbCrCl3(LT)	The cooperative Jahn-Teller distorted structure of Rb Cu Cl3	Journal of Solid State Chemistry (1981) 39, (*) p. 168-172	293.00	ABX3	Rubidium copper chloride - gamma, LT	1981	10	
15590	P 1 21/c 1	K Cu Cl3	KCuCl3	Crystal structures of K Cu Cl3 and N H4 Cu Cl3	Journal of Chemical Physics (1963) 38, (*) p. 2429-2436	293.00	ABX3	Potassium copper chloride	1963	10	
15932	P 63/m m c	Cs V Cl3	BaNiO3	Sur la phase Cs V Cl3. Etude cristallographique et magnetique	Materials Research Bulletin (1976) 11, (*) p. 827-836	293.00	ABX3	Cesium vanadium(II) chloride	1976	10	
21108	I 4/m c m	K Cu F3	KCuF3(tI20)	Stacking disorder in K Cu F3	Journal of the Physical Society of Japan (1972) 33, (*) p. 1088-1099	293.00	ABX3	Potassium copper fluoride - A	1972	10	
21109	I 4/m c m	K Cu F3	KCuF3(tI20)	Stacking disorder in K Cu F3	Journal of the Physical Society of Japan (1972) 33, (*) p. 1088-1099	293.00	ABX3	Potassium copper fluoride - B	1972	10	
21110	P 4/m b m	K Cu F3	Perovskite#NaNbO3(tP10)	Stacking disorder in K Cu F3	Journal of the Physical Society of Japan (1972) 33, (*) p. 1088-1109	293.00	ABX3	Potassium copper fluoride - C	1972	10	
21111	P 4/m b m	K Cu F3	Perovskite#NaNbO3(tP10)	Stacking disorder in K Cu F3	Journal of the Physical Society of Japan (1972) 33, (*) p. 1088-1099	293.00	ABX3	Potassium copper fluoride - D	1972	10	
21955	P b n m	Cs Pb I3	Perovskite#GdFeO3	Thermodynamically stable orthorhombic gamma-CsPbI3 thin films for high-performance photovoltaics	Journal of the American Chemical Society (2018) 140, (37) p. 11716-11725	298.00	ABX3	Cesium triiodoplumbate - gamma	2018	10	
22086	P 63/m m c	Cs Mg Cl3	BaNiO3	Single-crystal paramagnetic resonance studies of V(II), Mn(II), and Ni(II) in Cs Mg Cl3 and the crystal structure of Cs Mg Cl3	Journal of Chemical Physics (1970) 52, (*) p. 815-824	293.00	ABX3	Cesium magnesium chloride	1970	10	
22127	P 63/m m c	Rb Ni F3	BaFeO3-x	Structures of ferrimagnetic fluorides of A B F3 type. I. Rb Ni F3	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1970) 26, (*) p. 1464-1468	293.00	ABX3	Rubidium nickel fluoride	1970	10	
23899	P 42/n m c S	(P C F3)4		The Molecular and Crystal Structure of (P C F3)4	Acta Crystallographica (1962) 15, (*) p. 564-569	293.00	ABX3	Cyclo-tetrakis(trifluoromethylphosphorus)	1962	10	
23959	P 61 2 2	Cs Cu Cl3	CsCuCl3	A redetermination of the crystal structure of Cs Cu Cl3	Inorganic Chemistry (1966) 5, (*) p. 277-280	293.00	ABX3	Cesium copper chloride	1966	10	
24305	P 63/m m c	Rb (Co Cl3)	BaNiO3	On the Crystal Structures of Rb Co Cl3 and Rb3 Co Cl5	Acta Chemica Scandinavica  (1967) 21, (*) p. 168-174	293.00	ABX3	Rubidium trichlorocobaltate(II)	1967	10	
24822	P 1 21/c 1	Ga2 I3		Eigenschaften und Strukturen reduzierter Galliumiodide: Ga2 I4 und Ga2 I3	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1982) 486, (*) p. 7-21	293.00	ABX3	Digallium triiodide	1982	10	
